,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
CABLES2,1.0,9916.0,1.9844331578894501e-05,-4.7023635249496438,14973.0,0.756900212314,0.756900212314
CABP1,1.0,9916.0,0.00014177626423796452,-3.8483964713625505,7040.0,0.355879081994,0.355879081994
CABP2,1.0,9916.0,0.00011890505658569585,-3.9247996760745845,7960.0,0.402386007482,0.402386007482
CABP4,1.0,9916.0,3.8846307809284728e-05,-4.4106502529056533,12917.0,0.65296734405,0.65296734405
CABP5,1.0,9916.0,0.00020924186130412122,-3.679351425375085,5121.0,0.258871701547,0.258871701547
CABP7,1.0,9916.0,4.9341942744764958e-05,-4.3067837549938108,12000.0,0.60661207158,0.60661207158
CABS1,1.0,9916.0,5.2457176162626684e-05,-4.2801950917478981,11769.0,0.594934789202,0.594934789202
CABYR,1.0,9916.0,5.1651125901480902e-05,-4.2869202072039752,11824.0,0.59771509453,0.59771509453
CACFD1,1.0,9916.0,4.5950012420114428e-05,-4.3377143668896991,12278.0,0.620665251238,0.620665251238
CACHD1,1.0,9916.0,0.0012980555858308552,-2.8867067096136729,952.0,0.0481245576787,0.0481245576787
CACNA1A,1.0,9916.0,0.00031679237525842377,-3.4992252798067938,3447.0,0.174249317561,0.174249317561
CACNA1B,1.0,9916.0,0.00032364428904235287,-3.4899320520456345,3378.0,0.17076129815,0.17076129815
CACNA1C,1.0,9916.0,0.00017363367122762789,-3.7603660521411513,6028.0,0.304721463957,0.304721463957
CACNA1D,1.0,9916.0,0.00014652013938436326,-3.8341026768636826,6874.0,0.347487615004,0.347487615004
CACNA1E,1.0,9916.0,0.00021683435260159495,-3.6638719123391619,4953.0,0.250379132545,0.250379132545
CACNA1F,1.0,9916.0,8.3997687432934242e-05,-4.0757326704731289,9712.0,0.490951369932,0.490951369932
CACNA1G,1.0,9916.0,0.00019147109249294489,-3.7178967847160123,5546.0,0.280355879082,0.280355879082
CACNA1H,1.0,9916.0,0.00010772761699481752,-3.9676729469253367,8490.0,0.429178040643,0.429178040643
CACNA1I,1.0,9916.0,0.00012239898457405419,-3.9122221850966201,7827.0,0.395662723688,0.395662723688
CACNA1S,1.0,9916.0,0.0001581264984108388,-3.8009953460747274,6488.0,0.327974926701,0.327974926701
CACNA2D1,1.0,9916.0,0.00012211350301254126,-3.9132363101780108,7833.0,0.395966029724,0.395966029724
CACNA2D2,1.0,9916.0,9.8505840479982804e-05,-4.00653801911628,8949.0,0.452380952381,0.452380952381
CACNA2D3,1.0,9916.0,4.617113665012267e-05,-4.3356294337702836,12259.0,0.619704782125,0.619704782125
CACNA2D4,1.0,9916.0,5.3695863979197173e-05,-4.2700591653281847,11659.0,0.589374178546,0.589374178546
CACNB1,1.0,9916.0,0.00016704654003724573,-3.7771625152865109,6219.0,0.314376706096,0.314376706096
CACNB2,1.0,9916.0,9.3119875413735656e-05,-4.0309576137419025,9237.0,0.466939642099,0.466939642099
CACNB3,1.0,9916.0,0.00011518593595931458,-3.9386005444209049,8107.0,0.409817005358,0.409817005358
CACNB4,1.0,9916.0,9.8720904067619924e-05,-4.0055908761047885,8929.0,0.451369932262,0.451369932262
CACNG1,1.0,9916.0,5.8256184609242951e-05,-4.2346579621630758,11317.0,0.572085734506,0.572085734506
CACNG2,1.0,9916.0,0.00013890326198343913,-3.8572875552359394,7166.0,0.362248508745,0.362248508745
CACNG3,1.0,9916.0,0.00019047911940983328,-3.7201526253537764,5573.0,0.281720756243,0.281720756243
CACNG4,1.0,9916.0,9.3499451725372068e-05,-4.0291909357942588,9208.0,0.465473662926,0.465473662926
CACNG5,1.0,9916.0,0.00012837745255096523,-3.8915112464585291,7565.0,0.382418360125,0.382418360125
CACNG6,1.0,9916.0,2.3347809564972336e-05,-4.6317538576446839,14507.0,0.733343443535,0.733343443535
CACNG7,1.0,9916.0,3.6589188052937234e-05,-4.43664722779247,13110.0,0.662723688201,0.662723688201
CACNG8,1.0,9916.0,4.7920037997267166e-05,-4.3194828462531998,12102.0,0.611768274189,0.611768274189
CACTIN,1.0,9916.0,9.6035245508994561e-05,-4.0175693490348365,9063.0,0.458143767061,0.458143767061
CACUL1,1.0,9916.0,2.8934199815568789e-05,-4.5385885236853749,13885.0,0.701900717824,0.701900717824
CACYBP,1.0,9916.0,0.00034456187196439566,-3.462732781767865,3173.0,0.160398341927,0.160398341927
CAD,1.0,9916.0,0.00057694227767424015,-3.2388676352698371,2033.0,0.102770195127,0.102770195127
CADM1,1.0,9916.0,0.00020639031460602627,-3.6853106869472114,5189.0,0.262309169952,0.262309169952
CADM2,1.0,9916.0,6.6759624722909975e-05,-4.175486113293382,10742.0,0.543018906076,0.543018906076
CADM3,1.0,9916.0,0.00021114713364933811,-3.6754148098049035,5069.0,0.256243049237,0.256243049237
