,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
AC011448.1,1.0,9918.5,1.0020449402868198e-05,-4.9991128005437107,16798.0,0.8491557982,0.8491557982
AC011455.3,1.0,9918.5,6.4467204929691682e-06,-5.1906611588555283,17405.0,0.879840258821,0.879840258821
AC011462.1,1.0,9918.5,1.9901657563955783e-06,-5.7011107506807273,18738.0,0.947224749773,0.947224749773
AC011473.4,1.0,9918.5,1.8264101070832191e-05,-4.7384016981897847,15603.0,0.788747346072,0.788747346072
AC011479.1,1.0,9918.5,4.8638632666219867e-07,-6.3130186424907162,19492.0,0.98534020827,0.98534020827
AC011604.2,1.0,9918.5,4.5053046270661599e-06,-5.3462758387845639,17840.0,0.901829946416,0.901829946416
AC012184.2,1.0,9918.5,1.6296446162676006e-05,-4.7879070937688315,15882.0,0.802851076736,0.802851076736
AC012254.2,1.0,9918.5,3.2069492706099081e-06,-5.4939079099401091,18386.0,0.929430795673,0.929430795673
AC012309.1,1.0,9918.5,1.0873608716696482e-06,-5.9636262990000262,19068.0,0.963906581741,0.963906581741
AC013269.1,1.0,9918.5,1.7133493464102308e-06,-5.7661540767603183,18804.5,0.950586391669,0.950586391669
AC018523.2,1.0,9918.5,8.4208030857335259e-05,-4.0746464881831539,10774.0,0.544636538267,0.544636538267
AC018755.2,1.0,9918.5,2.7293906152560713e-05,-4.5639343060631319,14565.0,0.73627540188,0.73627540188
AC020909.1,1.0,9918.5,1.67545560206129e-06,-5.7758670760562607,18826.0,0.951673238297,0.951673238297
AC020915.1,1.0,9918.5,4.9213169250612406e-06,-5.3079186661845092,17728.0,0.896168233748,0.896168233748
AC022335.1,1.0,9918.5,3.6354632778994516e-07,-6.4394402378406852,19587.0,0.990142553837,0.990142553837
AC022826.2,1.0,9918.5,1.513317503569823e-05,-4.8200699446917863,16034.0,0.810534829643,0.810534829643
AC023055.1,1.0,9918.5,7.1609442957484626e-06,-5.1450297045926945,17286.0,0.873824689111,0.873824689111
AC023509.3,1.0,9918.5,5.2198500981444164e-06,-5.2823419687378683,17656.0,0.892528561318,0.892528561318
AC026464.1,1.0,9918.5,4.536757179325149e-06,-5.3432544648382985,17833.0,0.901476089374,0.901476089374
AC026464.3,1.0,9918.5,3.358568727829873e-06,-5.4738457601204269,18339.0,0.927054898392,0.927054898392
AC026464.4,1.0,9918.5,1.1140629016951192e-05,-4.9530902875394229,16628.0,0.840562127186,0.840562127186
AC026786.1,1.0,9918.5,1.1638213603041074e-06,-5.9341136762050972,19033.0,0.962137296532,0.962137296532
AC034102.2,1.0,9918.5,3.3423727985358387e-06,-5.4759451117982616,18344.0,0.927307653422,0.927307653422
AC037459.1,1.0,9918.5,4.0588066761721451e-06,-5.3916016339429138,18006.0,0.910221413406,0.910221413406
AC040162.1,1.0,9918.5,9.0860190759287714e-06,-5.0416263557272138,16967.0,0.857698918208,0.857698918208
AC048338.1,1.0,9918.5,2.8641209050390568e-06,-5.5430086528156499,18472.0,0.933778182186,0.933778182186
AC067968.1,1.0,9918.5,2.0586363787572131e-05,-4.6864203569493208,15311.0,0.77398645233,0.77398645233
AC068234.1,1.0,9918.5,0.00013628230901568481,-3.8655605168397384,8759.0,0.442776261248,0.442776261248
AC068533.4,1.0,9918.5,1.0531900204836691e-06,-5.9774932647097296,19085.0,0.964765948842,0.964765948842
AC068775.1,1.0,9918.5,5.7876539189665912e-06,-5.2374974460355066,17528.0,0.886058032555,0.886058032555
AC068775.2,1.0,9918.5,1.8447245121843756e-05,-4.7340684814135034,15581.0,0.787635223941,0.787635223941
AC068896.1,1.0,9918.5,1.2824053392944056e-06,-5.8919746824651478,18975.0,0.959205338186,0.959205338186
AC073610.2,1.0,9918.5,1.0095333297070203e-05,-4.9958793382667555,16784.0,0.848448084117,0.848448084117
AC078927.1,1.0,9918.5,4.3410517956972652e-06,-5.3624050323019796,17895.0,0.904610251744,0.904610251744
AC090527.2,1.0,9918.5,3.7774632035072112e-06,-5.4227997574566018,18093.0,0.914619350925,0.914619350925
AC091167.3,1.0,9918.5,2.2182376023248372e-06,-5.6539919370633696,18658.0,0.943180669295,0.943180669295
AC092143.1,1.0,9918.5,6.3936850153838963e-06,-5.1942487630362155,17411.0,0.880143564857,0.880143564857
AC092647.5,1.0,9918.5,7.166472179785883e-06,-5.1446945807192064,17285.0,0.873774138105,0.873774138105
AC093155.3,1.0,9918.5,2.8130777691409661e-06,-5.5508182613499359,18488.0,0.934586998281,0.934586998281
AC093525.2,1.0,9918.5,8.1285813472585752e-06,-5.0899852436824675,17107.0,0.864776059044,0.864776059044
AC099329.3,1.0,9918.5,1.6824872772077008e-06,-5.774048211180884,18822.0,0.951471034274,0.951471034274
AC099811.2,1.0,9918.5,2.4343389457440893e-05,-4.6136189528035807,14870.0,0.7516934587,0.7516934587
AC099850.2,1.0,9918.5,2.7329725354765268e-07,-6.5633647326508902,19724.0,0.997068041654,0.997068041654
AC100868.1,1.0,9918.5,3.1179157556477897e-07,-6.5061356233843712,19661.0,0.993883328278,0.993883328278
